day;accident_location;type_of_street;flooring;intersection_type;road_surface_conditions;meteorological_conditions;nature_of_the_accident;type_vehicle_a;type_vehicle_b;type_vehicle_c;vehicle_a_circumstances_1;vehicle_a_circumstances_2;vehicle_b_circumstances_1;vehicle_b_circumstances_2;vehicle_a_registration_year;vehicle_b_registration_year;vehicle_c_registration_year;vehicle_a_driver_age;vehicle_a_driver_sex;vehicle_a_driver_outcome;vehicle_a_driver_licence;vehicle_a_release_year;vehicle_b_driver_age;vehicle_b_driver_sex;vehicle_b_driver_outcome;vehicle_b_driver_licence;vehicle_b_release_year;vehicle_c_driver_age;vehicle_c_driver_sex;vehicle_c_driver_outcome;vehicle_c_driver_licence;vehicle_c_release_year;injured_pedestrians;pedestrians_fatality;tot_death_within_24h;tot_deaths_within_30_days;tot_injured;hour;trimester;cubic_capacity_a;cubic_capacity_b;cubic_capacity_c;fatality
3;7;1;1;7;1;1;4;1;8;8;21;  ;23;  ;2019;2021;(2002,2012];45-54;1;1;2;(1982,1987];55-64;1;1;2;(1982,1987];45-54;1;1;2;(1987,1992];0;0;0;0;2;6;2;1500;2000;1995;0
4;7;1;1;7;1;1;8;1;  ;  ;0;  ;0;  ;(2002,2012];           ;           ;18-29;1;2;2;(2017,2022];     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;17;2;1124;     ;     ;0
6;7;1;1;7;1;1;4;1;1;1;22;  ;20;  ;           ;2015;(2002,2012];65+  ;1;1;2;(2017,2022];30-44;1;2;2;(2017,2022];55-64;1;1;3;(2017,2022];0;0;0;0;2;12;2;999;1249;1956;0
7;7;1;1;7;1;1;4;16;1;  ;0;  ;0;  ;(2002,2012];2019;           ;30-44;1;2;1;(2002,2007];18-29;1;1;2;(2012,2017];     ; ; ; ;           ;0;0;0;0;1;20;2;848;999;     ;0
1;7;1;1;7;1;1;3;8;1;  ;22;  ;20;  ;2022;2017;           ;30-44;1;1;3;(2007,2012];45-54;2;2;2;           ;     ; ; ; ;           ;0;0;0;0;1;18;2;1997;999;     ;0
2;7;1;1;7;1;1;3;16;16;  ;0;  ;0;  ;(2002,2012];2021;           ;55-64;1;2;1;<1983      ;30-44;2;2;1;           ;     ; ; ; ;           ;0;0;0;0;2;8;2;649;330;     ;0
2;7;1;1;8;2;3;8;1;  ;  ;0;  ;0;  ;(2002,2012];           ;           ;30-44;1;2; ;           ;     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;4;3;1910;     ;     ;0
3;7;1;1;7;1;1;4;8;8;8;20;  ;21;  ;2017;2021;2017;18-29;1;2; ;           ;30-44;1;1;2;(2007,2012];45-54;1;2;2;           ;0;0;0;0;3;15;3;2299;1499;3198;0
5;7;1;1;7;1;1;4;8;8;  ;21;  ;20;  ;           ;2015;           ;18-29;1;2;2;(2017,2022];45-54;1;1;2;           ;     ; ; ; ;           ;0;0;0;0;1;12;3;2287;7800;     ;0
1;7;1;1;7;1;1;8;1;  ;  ;61;  ;65;  ;2017;           ;           ;45-54;1;2;2;           ;     ; ; ; ;           ;     ; ; ; ;           ;0;0;0;0;1;17;3;1248;     ;     ;0
6;7;2;1;7;1;1;4;1;1;  ;22;  ;20;  ;(2002,2012];(2002,2012];           ;30-44;1;1;3;(2017,2022];18-29;1;2;2;(2017,2022];     ; ; ; ;           ;0;0;0;0;1;5;3;     ;     ;     ;0
3;1;2;1;9;1;1;2;1;1;  ;36;  ;20;  ;2019;           ;           ;65+  ;1;1;2;<1983      ;30-44;1;1;2;(2002,2007];     ; ; ; ;           ;0;0;0;0;1;2;3;999;2000;     ;0
2;7;1;1;8;1;1;3;12;16;1;22;  ;20;  ;2015;2014;(2002,2012];18-29;1;1;3;(2012,2017];65+  ;1;2;2;(2017,2022];55-64;1;1;2;(2017,2022];0;0;0;0;1;9;3;7800;745;1242;0
